# Start at 2020-03-10 10:20:36.008281
# EA  EB  tA  tB
# 
147.445 0.000 115.280 9.586
136.940 10.400 114.256 118.192
28.830 1.934 80.246 15.226
29.968 0.252 85.365 96.000
54.699 1.460 109.359 21.278
99.758 1.704 111.635 14.073
137.010 39.635 115.151 112.934
43.063 0.000 103.549 0.000
179.516 0.500 114.906 47.025
135.769 202.809 115.117 115.363
48.185 2.325 104.972 12.015
112.479 0.000 112.977 0.000
65.491 0.000 109.861 0.000
144.657 0.748 112.430 150.000
135.193 0.000 114.223 0.000
343.816 0.000 117.081 9.586
348.930 0.252 117.067 151.000
46.446 0.995 103.666 21.048
92.506 1.009 112.538 23.015
64.169 0.958 107.844 58.000
49.984 0.000 104.754 0.000
0.755 0.000 426.000 9.586
63.531 0.000 109.640 9.586
48.711 0.499 105.089 44.000
85.208 0.300 111.718 22.025
101.597 0.510 113.512 147.000
64.548 1.665 109.866 21.054
138.206 0.000 115.115 0.000
33.981 2.478 100.951 20.044
138.852 25.074 114.366 115.317
40.263 0.000 106.213 9.586
61.855 0.496 455.500 332.000
55.761 2.187 107.643 14.182
38.571 2.223 102.595 10.281
53.315 0.257 108.799 73.000
57.401 0.000 109.999 0.000
50.256 53.198 106.772 107.566
24.425 0.252 63.370 496.000
48.327 209.401 107.791 108.246
49.376 58.030 107.761 298.494
0.995 0.721 400.000 16.069
28.475 0.760 88.992 431.000
133.090 1.738 115.402 28.048
32.764 1.827 95.997 8.763
136.175 0.757 113.723 95.000
25.191 0.252 72.833 109.000
57.333 2.088 109.437 15.365
261.030 0.000 117.341 0.000
60.715 0.000 109.073 0.000
72.736 0.000 109.775 0.000
29.639 0.776 84.210 391.000
140.276 1.252 115.400 29.000
159.833 0.000 114.734 9.586
49.546 1.476 105.534 15.070
36.340 1.499 110.345 17.357
63.886 0.000 109.470 9.586
151.807 0.000 114.543 9.586
323.335 0.748 116.542 103.000
56.007 0.252 107.157 40.000
140.661 0.000 114.984 9.586
42.034 0.000 104.549 9.586
36.503 0.503 95.709 164.000
74.700 0.000 112.062 0.000
66.396 0.984 107.342 11.028
